method_name,condition_name,n_seeds,n_failed,n_gross_error,failure_rate,gross_error_rate,unusable_rate,convergence_rate,displacement_rmse_mean_m,displacement_rmse_median_m,displacement_rmse_std_m,displacement_rmse_p05_m,displacement_rmse_p95_m,peak_absolute_error_mean_m,phase_rmse_mean_rad,runtime_s_mean
fitzgibbon,axis:amplitude_ratio=1.0,50,0,0,0.0,0.0,0.0,,1.8618249124730096e-11,1.846696224667168e-11,1.742909794695199e-12,1.6159292529906865e-11,2.1329906867592424e-11,5.210516365529441e-11,0.0003697279056444796,
halir_flusser,axis:amplitude_ratio=1.0,50,0,0,0.0,0.0,0.0,,1.861824912473508e-11,1.8466962246679436e-11,1.7429097947012225e-12,1.6159292529981308e-11,2.1329906867605762e-11,5.21051636553342e-11,0.00036972790564457846,
heydemann,axis:amplitude_ratio=1.0,50,0,0,0.0,0.0,0.0,,1.7501217074540837e-11,1.7547442904506985e-11,1.668149017179779e-12,1.4963012363457274e-11,2.0112810743285808e-11,4.8989459637673484e-11,0.00034754548034296917,
kasa,axis:amplitude_ratio=1.0,50,0,0,0.0,0.0,0.0,,3.085471776124339e-09,3.0852991026806932e-09,2.3592754025393756e-12,3.0815900435119174e-09,3.0892500538500277e-09,5.044251031895413e-09,0.06127241128148466,
koning_wimmer_witkovsky,axis:amplitude_ratio=1.0,50,0,0,0.0,0.0,0.0,1.0,1.8611757526969142e-11,1.8506348470790735e-11,1.732071276474789e-12,1.6208142050768118e-11,2.1323768011713567e-11,5.2111912252692575e-11,0.0003695989931549987,
raw_atan2,axis:amplitude_ratio=1.0,50,0,0,0.0,0.0,0.0,,3.2386677618167714e-09,3.2385490150714725e-09,2.3126060863675873e-12,3.235209445078708e-09,3.24284056924802e-09,6.057476626700804e-09,0.06431463241429625,
taubin,axis:amplitude_ratio=1.0,50,0,0,0.0,0.0,0.0,,3.0854718281902357e-09,3.0852991329687055e-09,2.359267846849021e-12,3.0815901805081816e-09,3.0892501261822457e-09,5.044261653159089e-09,0.06127241231542802,
fitzgibbon,axis:amplitude_ratio=1.02,50,0,0,0.0,0.0,0.0,,1.886325013968799e-11,1.853824457447076e-11,2.3094503877729145e-12,1.5323701909645006e-11,2.313524069940251e-11,5.294872676897276e-11,0.0003745932241572088,
halir_flusser,axis:amplitude_ratio=1.02,50,0,0,0.0,0.0,0.0,,1.8863250139692587e-11,1.8538244574433297e-11,2.309450387779408e-12,1.5323701909659036e-11,2.3135240699348033e-11,5.294872676894905e-11,0.0003745932241573001,
heydemann,axis:amplitude_ratio=1.02,50,0,0,0.0,0.0,0.0,,1.788750552975949e-11,1.7868012698792625e-11,1.987081018528355e-12,1.4797330199458155e-11,2.1004060443117785e-11,5.051281557869181e-11,0.0003552165357986044,
kasa,axis:amplitude_ratio=1.02,50,0,0,0.0,0.0,0.0,,3.1250526101570927e-09,3.1251506718018165e-09,2.1640249378233657e-12,3.121707697805646e-09,3.128370734503132e-09,5.124127834468216e-09,0.0620584217582246,
koning_wimmer_witkovsky,axis:amplitude_ratio=1.02,50,0,0,0.0,0.0,0.0,1.0,1.885998327372155e-11,1.8571069734023458e-11,2.3145833703256257e-12,1.5318042513721514e-11,2.3084614287915997e-11,5.29737375410102e-11,0.0003745283495546776,
raw_atan2,axis:amplitude_ratio=1.02,50,0,0,0.0,0.0,0.0,,3.2733861668800858e-09,3.273326265858998e-09,1.8865573546909854e-12,3.2701918580230175e-09,3.2765111408526036e-09,6.0271740173789844e-09,0.06500408302296416,
taubin,axis:amplitude_ratio=1.02,50,0,0,0.0,0.0,0.0,,3.125052666061471e-09,3.125150810063356e-09,2.1640286360424355e-12,3.1217077690760175e-09,3.1283708337119827e-09,5.1241521081193755e-09,0.06205842286839391,
fitzgibbon,axis:amplitude_ratio=1.05,50,0,0,0.0,0.0,0.0,,1.8324265705755967e-11,1.791672079043695e-11,2.039271755703283e-12,1.508192213508963e-11,2.221181159891796e-11,4.929596339110565e-11,0.0003638898768876758,
halir_flusser,axis:amplitude_ratio=1.05,50,0,0,0.0,0.0,0.0,,1.8324265705744515e-11,1.7916720790279324e-11,2.0392717557041307e-12,1.5081922135109115e-11,2.221181159898883e-11,4.92959633911401e-11,0.0003638898768874485,
heydemann,axis:amplitude_ratio=1.05,50,0,0,0.0,0.0,0.0,,1.7380783456952987e-11,1.6861655307074694e-11,1.9119530214036173e-12,1.4523912455688516e-11,2.0792825211643335e-11,4.6482100982965716e-11,0.0003451538661314697,
