condition_name,method_name,runtime_s_mean,runtime_s_std,n_iter_mean,n_seeds
axis:amplitude_ratio=1.1,fitzgibbon,0.00012879296016762965,6.646139116088917e-05,,50
axis:amplitude_ratio=1.1,halir_flusser,7.400444053928367e-05,1.77371919309499e-05,,50
axis:amplitude_ratio=1.1,heydemann,3.2963420526357364e-05,4.359013704223946e-06,,50
axis:amplitude_ratio=1.1,kasa,2.1312858734745532e-05,4.3369753064155765e-06,,50
axis:amplitude_ratio=1.1,koning_wimmer_witkovsky,0.0001679888401122298,2.8242849767049e-05,3.0,50
axis:amplitude_ratio=1.1,raw_atan2,3.1697600206825882e-06,1.2681180227125334e-06,,50
axis:amplitude_ratio=1.1,taubin,0.00010622044006595387,5.390629707019228e-05,,50
axis:amplitude_ratio=1.5,fitzgibbon,0.0001102651002292987,2.7340095124391737e-05,,50
axis:amplitude_ratio=1.5,halir_flusser,7.175898019340821e-05,1.4844031088609864e-05,,50
axis:amplitude_ratio=1.5,heydemann,3.7175539619056506e-05,1.600234110320231e-05,,50
axis:amplitude_ratio=1.5,kasa,2.0060840906808153e-05,1.7846503281027272e-06,,50
axis:amplitude_ratio=1.5,koning_wimmer_witkovsky,0.00034160020033596083,5.2696243055754795e-05,10.0,50
axis:amplitude_ratio=1.5,raw_atan2,3.509100497467443e-06,1.6739101377033412e-06,,50
axis:amplitude_ratio=1.5,taubin,8.824948046822101e-05,2.0307165626243152e-05,,50
axis:arc_fraction=0.02,fitzgibbon,0.00010935192040051334,1.8640995180405786e-05,,50
axis:arc_fraction=0.02,halir_flusser,6.068492031772621e-05,1.7941397828080283e-05,,50
axis:arc_fraction=0.02,heydemann,3.627694066381082e-05,5.486230590798758e-06,,50
axis:arc_fraction=0.02,kasa,2.0089999889023602e-05,1.9184796094939028e-06,,50
axis:arc_fraction=0.02,koning_wimmer_witkovsky,0.0004636483400827274,8.89313889608147e-05,13.666666666666666,50
axis:arc_fraction=0.02,raw_atan2,3.031040687346831e-06,8.884436295879299e-07,,50
axis:arc_fraction=0.02,taubin,0.0001024529205460567,5.06318841823762e-05,,50
axis:dc_offset=0.2,fitzgibbon,0.00012044602000969462,3.114120201422268e-05,,50
axis:dc_offset=0.2,halir_flusser,7.394443993689492e-05,1.2833750590524055e-05,,50
axis:dc_offset=0.2,heydemann,3.4595940087456255e-05,5.519700881079556e-06,,50
axis:dc_offset=0.2,kasa,2.0869360450888053e-05,2.543775074361668e-06,,50
axis:dc_offset=0.2,koning_wimmer_witkovsky,0.0001677677004772704,3.869502822302297e-05,2.98,50
axis:dc_offset=0.2,raw_atan2,3.1852205574978143e-06,1.271815804353102e-06,,50
axis:dc_offset=0.2,taubin,8.277500019175932e-05,9.846769000009442e-06,,50
axis:hysteresis_magnitude=0.2,fitzgibbon,0.00010339883985579945,1.1493213607435086e-05,,50
axis:hysteresis_magnitude=0.2,halir_flusser,7.492858028854244e-05,1.2006898827872433e-05,,50
axis:hysteresis_magnitude=0.2,heydemann,3.43341805273667e-05,4.718443171228991e-06,,50
axis:hysteresis_magnitude=0.2,kasa,2.2199480299605056e-05,4.653833417110013e-06,,50
axis:hysteresis_magnitude=0.2,koning_wimmer_witkovsky,0.00016781202008132824,2.7174315772349157e-05,3.02,50
axis:hysteresis_magnitude=0.2,raw_atan2,3.2590195769444107e-06,1.1162468718923194e-06,,50
axis:hysteresis_magnitude=0.2,taubin,8.406891982303932e-05,9.607911733273895e-06,,50
axis:noise_std=0.1,fitzgibbon,0.00011143522016936912,2.433224780319463e-05,,50
axis:noise_std=0.1,halir_flusser,8.126520071527921e-05,4.1656952493653715e-05,,50
axis:noise_std=0.1,heydemann,3.5476479679346086e-05,5.363056854654019e-06,,50
axis:noise_std=0.1,kasa,2.3835380125092344e-05,6.832823174119183e-06,,50
axis:noise_std=0.1,koning_wimmer_witkovsky,0.00034996725982637143,3.3400701518775306e-05,10.52,50
axis:noise_std=0.1,raw_atan2,3.450799995334819e-06,1.290534198709577e-06,,50
axis:noise_std=0.1,taubin,8.214218061766587e-05,6.250968028844736e-06,,50
axis:photon_scale=100000,fitzgibbon,0.00010764992010081186,3.241295928316264e-05,,50
axis:photon_scale=100000,halir_flusser,8.01883198437281e-05,3.3470942210551025e-05,,50
axis:photon_scale=100000,heydemann,3.4488720120862124e-05,7.867029257234433e-06,,50
axis:photon_scale=100000,kasa,2.101937963743694e-05,3.0995205045261997e-06,,50
axis:photon_scale=100000,koning_wimmer_witkovsky,0.00018806530017172917,6.46366105605635e-05,3.82,50
axis:photon_scale=100000,raw_atan2,3.1395604310091587e-06,1.1439455001657286e-06,,50
axis:photon_scale=100000,taubin,8.199710035114549e-05,9.746420335900743e-06,,50
axis:quadrature_error_rad=0.5,fitzgibbon,0.00011020113946869969,2.7298615248960287e-05,,50
axis:quadrature_error_rad=0.5,halir_flusser,7.678290014155209e-05,3.07345225181451e-05,,50
axis:quadrature_error_rad=0.5,heydemann,3.724417940247804e-05,1.5153021923286908e-05,,50
axis:quadrature_error_rad=0.5,kasa,2.0354639855213463e-05,2.5797953960705965e-06,,50
axis:quadrature_error_rad=0.5,koning_wimmer_witkovsky,0.0001740448799682781,2.4245867557588827e-05,3.0,50
axis:quadrature_error_rad=0.5,raw_atan2,3.1191797461360692e-06,1.0424656853746676e-06,,50
axis:quadrature_error_rad=0.5,taubin,7.995677937287837e-05,3.706945108468534e-06,,50
axis:samples_per_fit=1000,fitzgibbon,0.00014132642056210898,3.701143919014157e-05,,50
axis:samples_per_fit=1000,halir_flusser,0.00010830996034201234,3.4671196168364275e-05,,50
axis:samples_per_fit=1000,heydemann,5.164962043636479e-05,1.5243618513332549e-05,,50
axis:samples_per_fit=1000,kasa,4.2949420167133215e-05,1.2671484379741391e-05,,50
axis:samples_per_fit=1000,koning_wimmer_witkovsky,0.01946968480013311,0.003869987390834599,2.64,50
axis:samples_per_fit=1000,raw_atan2,1.1651920212898403e-05,4.8210399478526795e-06,,50
axis:samples_per_fit=1000,taubin,0.00010872059981920757,3.281277472407489e-05,,50
