axis,swept_value,method_name,n_valid,cyclic_first_order_mean_rad,cyclic_second_order_mean_rad
amplitude_ratio,1.0,fitzgibbon,50,0.0001276255580780202,0.00010492877498629081
amplitude_ratio,1.0,halir_flusser,50,0.00012762555807808805,0.00010492877498627719
amplitude_ratio,1.0,heydemann,50,6.381329005251496e-05,5.2455333759687854e-05
amplitude_ratio,1.0,kasa,50,0.00012527886402824724,0.050051827648363086
amplitude_ratio,1.0,koning_wimmer_witkovsky,50,0.00012677411502760806,0.00010512599072186249
amplitude_ratio,1.0,raw_atan2,50,0.028324535967651922,0.04965052252231014
amplitude_ratio,1.0,taubin,50,0.00012610013185937612,0.050051827658776
quadrature_error_rad,0.0,fitzgibbon,50,0.00011137493795625254,0.00011199703320317325
quadrature_error_rad,0.0,halir_flusser,50,0.00011137493795629549,0.00011199703320369906
quadrature_error_rad,0.0,heydemann,50,5.567604803936986e-05,5.5999497297965886e-05
quadrature_error_rad,0.0,kasa,50,0.00011055349523717832,0.047633669685052685
quadrature_error_rad,0.0,koning_wimmer_witkovsky,50,0.00011140812670573458,0.00011162010076169595
quadrature_error_rad,0.0,raw_atan2,50,0.02692552022937361,0.04763514143329602
quadrature_error_rad,0.0,taubin,50,0.00011169682719811416,0.04763366967946818
dc_offset,0.0,fitzgibbon,50,0.00011765439783529877,9.95150926276579e-05
dc_offset,0.0,halir_flusser,50,0.00011765439783530823,9.951509262746973e-05
dc_offset,0.0,heydemann,50,5.883592535349718e-05,4.975466084958765e-05
dc_offset,0.0,kasa,50,0.00011590664862823898,0.06907519428549644
dc_offset,0.0,koning_wimmer_witkovsky,50,0.00011721860443726994,9.82318245941944e-05
dc_offset,0.0,raw_atan2,50,7.451776782592046e-05,0.06907519450939253
dc_offset,0.0,taubin,50,0.00011831510556185752,0.06907519429385932
