axis,swept_value,method_a,method_b,mean_difference_m,p_value,significant
amplitude_ratio,1.5,fitzgibbon,halir_flusser,8.826017135940805e-24,0.23359251819269575,False
amplitude_ratio,1.5,fitzgibbon,heydemann,9.859575917972738e-10,1.7274846108016657e-139,True
amplitude_ratio,1.5,fitzgibbon,kasa,-5.38335662445408e-09,1.060920365551203e-173,True
amplitude_ratio,1.5,fitzgibbon,koning_wimmer_witkovsky,-4.737395217061804e-10,1.4415250429717326e-138,True
amplitude_ratio,1.5,fitzgibbon,raw_atan2,-5.0024578086307895e-09,1.5371124104615387e-165,True
amplitude_ratio,1.5,fitzgibbon,taubin,-5.358557882198163e-09,1.4879988760821962e-173,True
amplitude_ratio,1.5,halir_flusser,heydemann,9.859575917972651e-10,1.727484610379128e-139,True
amplitude_ratio,1.5,halir_flusser,kasa,-5.38335662445409e-09,1.0609203654835995e-173,True
amplitude_ratio,1.5,halir_flusser,koning_wimmer_witkovsky,-4.737395217061893e-10,1.4415250424769714e-138,True
amplitude_ratio,1.5,halir_flusser,raw_atan2,-5.002457808630798e-09,1.5371124102749938e-165,True
amplitude_ratio,1.5,halir_flusser,taubin,-5.3585578821981715e-09,1.4879988759827267e-173,True
amplitude_ratio,1.5,heydemann,kasa,-6.369314216251354e-09,1.4779196619667098e-176,True
amplitude_ratio,1.5,heydemann,koning_wimmer_witkovsky,-1.4596971135034542e-09,2.750289832735339e-147,True
amplitude_ratio,1.5,heydemann,raw_atan2,-5.988415400428063e-09,7.69623034882244e-173,True
amplitude_ratio,1.5,heydemann,taubin,-6.344515473995438e-09,1.5153057202785161e-176,True
amplitude_ratio,1.5,kasa,koning_wimmer_witkovsky,4.909617102747901e-09,9.82631242401174e-174,True
amplitude_ratio,1.5,kasa,raw_atan2,3.80898815823291e-10,2.1651254365049932e-123,True
amplitude_ratio,1.5,kasa,taubin,2.4798742255917398e-11,1.6823010264072992e-127,True
amplitude_ratio,1.5,koning_wimmer_witkovsky,raw_atan2,-4.528718286924609e-09,4.849124083708629e-164,True
