axis,position,swept_value,method_name,n_seeds,failure_rate,gross_error_rate,unusable_rate,displacement_rmse_mean_m,displacement_rmse_ci_low_m,displacement_rmse_ci_high_m,mean_runtime_s,rankable
amplitude_ratio,baseline,1.0,fitzgibbon,50,0.0,0.0,0.0,1.8618249124730096e-11,1.8130678134815286e-11,1.909467051225456e-11,,True
amplitude_ratio,baseline,1.0,halir_flusser,50,0.0,0.0,0.0,1.861824912473508e-11,1.813067813481914e-11,1.909467051225836e-11,,True
amplitude_ratio,baseline,1.0,heydemann,50,0.0,0.0,0.0,1.7501217074540837e-11,1.703333229164599e-11,1.7960113466999202e-11,,True
amplitude_ratio,baseline,1.0,kasa,50,0.0,0.0,0.0,3.085471776124339e-09,3.084816599664372e-09,3.0861214162261103e-09,,True
amplitude_ratio,baseline,1.0,koning_wimmer_witkovsky,50,0.0,0.0,0.0,1.8611757526969142e-11,1.812801745043719e-11,1.9088820761749285e-11,,True
amplitude_ratio,baseline,1.0,raw_atan2,50,0.0,0.0,0.0,3.2386677618167714e-09,3.2380264022608835e-09,3.2393098657397416e-09,,True
amplitude_ratio,baseline,1.0,taubin,50,0.0,0.0,0.0,3.0854718281902357e-09,3.084816651068291e-09,3.086121468864816e-09,,True
amplitude_ratio,worst,1.5,fitzgibbon,50,0.0,0.0,0.0,2.7348447218098517e-09,2.734237264251554e-09,2.7354766888458714e-09,,True
amplitude_ratio,worst,1.5,halir_flusser,50,0.0,0.0,0.0,2.734844721809844e-09,2.734237264251539e-09,2.7354766888458648e-09,,True
amplitude_ratio,worst,1.5,heydemann,50,0.0,0.0,0.0,1.7488871300125785e-09,1.7484473653345998e-09,1.749314779291807e-09,,True
amplitude_ratio,worst,1.5,kasa,50,0.0,0.0,0.0,8.118201346263934e-09,8.117617062883014e-09,8.118787423642878e-09,,True
amplitude_ratio,worst,1.5,koning_wimmer_witkovsky,50,0.0,0.0,0.0,3.208584243516033e-09,3.2080337628583854e-09,3.209134169938534e-09,,True
amplitude_ratio,worst,1.5,raw_atan2,50,0.0,0.0,0.0,7.737302530440642e-09,7.736806376538749e-09,7.737799020727699e-09,,True
amplitude_ratio,worst,1.5,taubin,50,0.0,0.0,0.0,8.093402604008017e-09,8.092823848216092e-09,8.093983232098533e-09,,True
quadrature_error_rad,baseline,0.0,fitzgibbon,50,0.0,0.0,0.0,1.7947303876023266e-11,1.738382127705785e-11,1.8492368088902774e-11,,True
