matching_rule,noise_std,matched_photon_scale,gaussian_ranking,poisson_ranking,rankings_differ,first_diverging_pair,significant_after_bootstrap_check
matched_sigma,0.005,50000,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",False,,False
matched_snr,0.005,100000,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",True,halir_flusser<->fitzgibbon,False
matched_fisher_information,0.005,10000,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,koning_wimmer_witkovsky,halir_flusser,fitzgibbon,kasa,taubin,raw_atan2",True,halir_flusser<->koning_wimmer_witkovsky,False
matched_sigma,0.01,10000,"heydemann,koning_wimmer_witkovsky,fitzgibbon,halir_flusser,kasa,taubin,raw_atan2","heydemann,koning_wimmer_witkovsky,halir_flusser,fitzgibbon,kasa,taubin,raw_atan2",True,fitzgibbon<->halir_flusser,False
matched_snr,0.01,10000,"heydemann,koning_wimmer_witkovsky,fitzgibbon,halir_flusser,kasa,taubin,raw_atan2","heydemann,koning_wimmer_witkovsky,halir_flusser,fitzgibbon,kasa,taubin,raw_atan2",True,fitzgibbon<->halir_flusser,False
matched_fisher_information,0.01,5000,"heydemann,koning_wimmer_witkovsky,fitzgibbon,halir_flusser,kasa,taubin,raw_atan2","heydemann,koning_wimmer_witkovsky,halir_flusser,fitzgibbon,kasa,taubin,raw_atan2",True,fitzgibbon<->halir_flusser,False
matched_sigma,0.02,5000,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,koning_wimmer_witkovsky,halir_flusser,fitzgibbon,kasa,taubin,raw_atan2",True,halir_flusser<->koning_wimmer_witkovsky,False
matched_snr,0.02,5000,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,koning_wimmer_witkovsky,halir_flusser,fitzgibbon,kasa,taubin,raw_atan2",True,halir_flusser<->koning_wimmer_witkovsky,False
matched_fisher_information,0.02,1000,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",False,,False
matched_sigma,0.03,1000,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2","heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",False,,False
