axis,value,ranking,differs_from_first_grid_point
photon_scale,100.0,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,raw_atan2,kasa,taubin",False
photon_scale,500.0,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",True
photon_scale,1000.0,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",True
photon_scale,5000.0,"heydemann,koning_wimmer_witkovsky,halir_flusser,fitzgibbon,kasa,taubin,raw_atan2",True
photon_scale,10000.0,"heydemann,koning_wimmer_witkovsky,halir_flusser,fitzgibbon,kasa,taubin,raw_atan2",True
photon_scale,50000.0,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",True
photon_scale,100000.0,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",True
noise_std,0.0,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",False
noise_std,0.005,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",True
noise_std,0.01,"heydemann,koning_wimmer_witkovsky,fitzgibbon,halir_flusser,kasa,taubin,raw_atan2",True
noise_std,0.02,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",True
noise_std,0.03,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",True
noise_std,0.04,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",False
noise_std,0.05,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",False
noise_std,0.06,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,taubin,raw_atan2",False
noise_std,0.08,"heydemann,halir_flusser,fitzgibbon,koning_wimmer_witkovsky,raw_atan2,kasa,taubin",True
noise_std,0.1,"heydemann,fitzgibbon,halir_flusser,koning_wimmer_witkovsky,kasa,raw_atan2,taubin",True
