arc_fraction,method_name,displacement_rmse_mean_m,unusable_rate,failure_rate,gross_error_rate
0.02,fitzgibbon,7.603741204039748e-08,1.0,0.0,1.0
0.05,fitzgibbon,4.8678995681940347e-08,1.0,0.0,1.0
0.1,fitzgibbon,1.8300676991902788e-08,0.0,0.0,0.0
0.15,fitzgibbon,4.1465261154841305e-09,0.0,0.0,0.0
0.25,fitzgibbon,2.8532072056693693e-10,0.0,0.0,0.0
0.35,fitzgibbon,7.606022403246738e-11,0.0,0.0,0.0
0.5,fitzgibbon,2.6136720767519852e-11,0.0,0.0,0.0
0.75,fitzgibbon,1.860428314079247e-11,0.0,0.0,0.0
1.0,fitzgibbon,1.8067636866826992e-11,0.0,0.0,0.0
0.02,halir_flusser,7.321550644875722e-09,0.54,0.54,0.0
0.05,halir_flusser,3.475722108659641e-08,1.0,0.4,0.6
0.1,halir_flusser,1.829992520907569e-08,0.0,0.0,0.0
0.15,halir_flusser,4.14657669124738e-09,0.0,0.0,0.0
0.25,halir_flusser,2.853207629064998e-10,0.0,0.0,0.0
0.35,halir_flusser,7.60602236488404e-11,0.0,0.0,0.0
0.5,halir_flusser,2.6136720768498565e-11,0.0,0.0,0.0
0.75,halir_flusser,1.8604283140852043e-11,0.0,0.0,0.0
1.0,halir_flusser,1.806763686681995e-11,0.0,0.0,0.0
0.02,heydemann,,1.0,1.0,0.0
0.05,heydemann,,1.0,1.0,0.0
0.1,heydemann,,1.0,1.0,0.0
0.15,heydemann,,1.0,1.0,0.0
0.25,heydemann,,1.0,1.0,0.0
0.35,heydemann,,1.0,1.0,0.0
0.5,heydemann,,1.0,1.0,0.0
0.75,heydemann,,1.0,1.0,0.0
1.0,heydemann,1.7189889213652162e-11,0.0,0.0,0.0
0.02,kasa,9.460591193743962e-10,0.0,0.0,0.0
0.05,kasa,5.688316398572543e-10,0.0,0.0,0.0
0.1,kasa,7.510381788931443e-10,0.0,0.0,0.0
0.15,kasa,7.186547778709536e-10,0.0,0.0,0.0
0.25,kasa,2.278801613732298e-09,0.0,0.0,0.0
0.35,kasa,4.2300841539625144e-09,0.0,0.0,0.0
0.5,kasa,4.8144523569441055e-09,0.0,0.0,0.0
0.75,kasa,4.2667766148975396e-09,0.0,0.0,0.0
1.0,kasa,3.607457483174131e-09,0.0,0.0,0.0
0.02,koning_wimmer_witkovsky,7.761291745046051e-08,1.0,0.88,0.12
0.05,koning_wimmer_witkovsky,,1.0,1.0,0.0
0.1,koning_wimmer_witkovsky,3.981798511142587e-08,1.0,0.82,0.18
0.15,koning_wimmer_witkovsky,1.6217681482286545e-08,0.04,0.02,0.02
0.25,koning_wimmer_witkovsky,5.031828479146659e-10,0.0,0.0,0.0
0.35,koning_wimmer_witkovsky,8.19922110124443e-11,0.0,0.0,0.0
0.5,koning_wimmer_witkovsky,2.6173873661104583e-11,0.0,0.0,0.0
0.75,koning_wimmer_witkovsky,1.8605352186527105e-11,0.0,0.0,0.0
1.0,koning_wimmer_witkovsky,1.805038771607933e-11,0.0,0.0,0.0
0.02,raw_atan2,6.514202347710915e-09,0.0,0.0,0.0
0.05,raw_atan2,6.5870465413423725e-09,0.0,0.0,0.0
0.1,raw_atan2,6.366476398467995e-09,0.0,0.0,0.0
0.15,raw_atan2,5.839317835875784e-09,0.0,0.0,0.0
0.25,raw_atan2,4.675293617062595e-09,0.0,0.0,0.0
0.35,raw_atan2,4.076281216880218e-09,0.0,0.0,0.0
0.5,raw_atan2,3.6343141286372655e-09,0.0,0.0,0.0
0.75,raw_atan2,3.915288484921793e-09,0.0,0.0,0.0
1.0,raw_atan2,3.727541047294917e-09,0.0,0.0,0.0
0.02,taubin,3.2427114355022685e-10,0.0,0.0,0.0
0.05,taubin,5.922054916235961e-10,0.0,0.0,0.0
0.1,taubin,7.532491534391636e-10,0.0,0.0,0.0
0.15,taubin,7.108016079547842e-10,0.0,0.0,0.0
0.25,taubin,2.2522815441266943e-09,0.0,0.0,0.0
0.35,taubin,4.220509090613454e-09,0.0,0.0,0.0
0.5,taubin,4.753946788903514e-09,0.0,0.0,0.0
0.75,taubin,4.3864389017775976e-09,0.0,0.0,0.0
1.0,taubin,3.607457580681932e-09,0.0,0.0,0.0
