arc_fraction,noise_std,method_name,displacement_rmse_mean_m,unusable_rate
0.02,0.0,fitzgibbon,7.580325270956648e-08,1.0
0.02,0.005,fitzgibbon,8.482766148004013e-08,1.0
0.02,0.01,fitzgibbon,8.662446938709833e-08,1.0
0.02,0.02,fitzgibbon,8.732303618720511e-08,1.0
0.02,0.03,fitzgibbon,8.843208543522711e-08,1.0
0.02,0.04,fitzgibbon,8.837416940755841e-08,1.0
0.02,0.05,fitzgibbon,9.287810835674153e-08,1.0
0.02,0.06,fitzgibbon,9.158335809838897e-08,1.0
0.02,0.08,fitzgibbon,9.06854095909687e-08,1.0
0.02,0.1,fitzgibbon,9.132733119325749e-08,1.0
0.05,0.0,fitzgibbon,4.9215141338409035e-08,1.0
0.05,0.005,fitzgibbon,7.542642832542873e-08,1.0
0.05,0.01,fitzgibbon,7.895286945322976e-08,1.0
0.05,0.02,fitzgibbon,8.213452916589218e-08,1.0
0.05,0.03,fitzgibbon,8.357982776027101e-08,1.0
0.05,0.04,fitzgibbon,8.573347783373613e-08,1.0
0.05,0.05,fitzgibbon,8.737886027434604e-08,1.0
0.05,0.06,fitzgibbon,8.701849888294154e-08,1.0
0.05,0.08,fitzgibbon,8.806968193303579e-08,1.0
0.05,0.1,fitzgibbon,8.732930302631586e-08,1.0
0.1,0.0,fitzgibbon,1.8405852615845927e-08,0.0
0.1,0.005,fitzgibbon,5.402878466012869e-08,1.0
0.1,0.01,fitzgibbon,6.06308129098791e-08,1.0
0.1,0.02,fitzgibbon,6.72931949939366e-08,1.0
0.1,0.03,fitzgibbon,7.251114378607938e-08,1.0
0.1,0.04,fitzgibbon,7.52318152012623e-08,1.0
0.1,0.05,fitzgibbon,7.654806132550759e-08,1.0
0.1,0.06,fitzgibbon,7.67311993995043e-08,1.0
0.1,0.08,fitzgibbon,8.01907889536711e-08,1.0
0.1,0.1,fitzgibbon,7.972961027185075e-08,1.0
0.15,0.0,fitzgibbon,3.7090748271278115e-09,0.0
0.15,0.005,fitzgibbon,3.495255207331559e-08,1.0
0.15,0.01,fitzgibbon,4.4738581890593056e-08,1.0
0.15,0.02,fitzgibbon,5.2747944370451546e-08,1.0
0.15,0.03,fitzgibbon,5.6676104448905635e-08,1.0
0.15,0.04,fitzgibbon,6.169512792380119e-08,1.0
0.15,0.05,fitzgibbon,6.356246795367974e-08,1.0
0.15,0.06,fitzgibbon,6.652155843650758e-08,1.0
0.15,0.08,fitzgibbon,6.8859942959632e-08,1.0
0.15,0.1,fitzgibbon,7.164005762036986e-08,1.0
0.25,0.0,fitzgibbon,2.2676437980806338e-10,0.0
0.25,0.005,fitzgibbon,8.314326707179996e-09,0.0
0.25,0.01,fitzgibbon,1.6911504815461187e-08,0.0
0.25,0.02,fitzgibbon,2.6280575586332785e-08,0.7
0.25,0.03,fitzgibbon,3.204676901483427e-08,1.0
0.25,0.04,fitzgibbon,3.494112961693366e-08,1.0
0.25,0.05,fitzgibbon,3.822257302537816e-08,1.0
0.25,0.06,fitzgibbon,4.115467852831757e-08,1.0
0.25,0.08,fitzgibbon,4.4431748413303264e-08,1.0
0.25,0.1,fitzgibbon,4.8502057670808975e-08,1.0
0.35,0.0,fitzgibbon,7.24439359989198e-11,0.0
0.35,0.005,fitzgibbon,1.2318724871948574e-09,0.0
0.35,0.01,fitzgibbon,3.898001128114469e-09,0.0
0.35,0.02,fitzgibbon,8.675052563754805e-09,0.0
0.35,0.03,fitzgibbon,1.3307752122209691e-08,0.0
0.35,0.04,fitzgibbon,1.7041943389149174e-08,0.0
