method_name,noise_std,min_samples_per_fit_status,min_samples_per_fit
fitzgibbon,0.0,no_breakdown_in_range,
fitzgibbon,0.005,no_breakdown_in_range,
fitzgibbon,0.01,no_breakdown_in_range,
fitzgibbon,0.02,no_breakdown_in_range,
fitzgibbon,0.03,no_breakdown_in_range,
fitzgibbon,0.04,no_breakdown_in_range,
fitzgibbon,0.05,no_breakdown_in_range,
fitzgibbon,0.06,found,35.18262894763313
fitzgibbon,0.08,broken_at_start,
fitzgibbon,0.1,broken_at_start,
halir_flusser,0.0,no_breakdown_in_range,
halir_flusser,0.005,no_breakdown_in_range,
halir_flusser,0.01,no_breakdown_in_range,
halir_flusser,0.02,no_breakdown_in_range,
halir_flusser,0.03,no_breakdown_in_range,
halir_flusser,0.04,no_breakdown_in_range,
halir_flusser,0.05,no_breakdown_in_range,
halir_flusser,0.06,found,35.18262894763277
halir_flusser,0.08,broken_at_start,
halir_flusser,0.1,broken_at_start,
heydemann,0.0,no_breakdown_in_range,
heydemann,0.005,no_breakdown_in_range,
heydemann,0.01,no_breakdown_in_range,
heydemann,0.02,no_breakdown_in_range,
heydemann,0.03,no_breakdown_in_range,
heydemann,0.04,no_breakdown_in_range,
heydemann,0.05,no_breakdown_in_range,
heydemann,0.06,no_breakdown_in_range,
heydemann,0.08,broken_at_start,
heydemann,0.1,broken_at_start,
kasa,0.0,broken_at_start,
kasa,0.005,broken_at_start,
kasa,0.01,broken_at_start,
kasa,0.02,broken_at_start,
kasa,0.03,broken_at_start,
kasa,0.04,broken_at_start,
kasa,0.05,broken_at_start,
kasa,0.06,broken_at_start,
kasa,0.08,broken_at_start,
kasa,0.1,broken_at_start,
koning_wimmer_witkovsky,0.0,no_breakdown_in_range,
koning_wimmer_witkovsky,0.005,no_breakdown_in_range,
koning_wimmer_witkovsky,0.01,no_breakdown_in_range,
koning_wimmer_witkovsky,0.02,no_breakdown_in_range,
koning_wimmer_witkovsky,0.03,no_breakdown_in_range,
koning_wimmer_witkovsky,0.04,no_breakdown_in_range,
koning_wimmer_witkovsky,0.05,no_breakdown_in_range,
koning_wimmer_witkovsky,0.06,found,43.398177603591094
koning_wimmer_witkovsky,0.08,broken_at_start,
koning_wimmer_witkovsky,0.1,broken_at_start,
raw_atan2,0.0,broken_at_start,
raw_atan2,0.005,broken_at_start,
raw_atan2,0.01,broken_at_start,
raw_atan2,0.02,broken_at_start,
raw_atan2,0.03,broken_at_start,
raw_atan2,0.04,broken_at_start,
raw_atan2,0.05,broken_at_start,
raw_atan2,0.06,broken_at_start,
raw_atan2,0.08,broken_at_start,
raw_atan2,0.1,broken_at_start,
taubin,0.0,broken_at_start,
taubin,0.005,broken_at_start,
taubin,0.01,broken_at_start,
taubin,0.02,broken_at_start,
taubin,0.03,broken_at_start,
taubin,0.04,broken_at_start,
taubin,0.05,broken_at_start,
taubin,0.06,broken_at_start,
taubin,0.08,broken_at_start,
taubin,0.1,broken_at_start,
