method_name,condition_name,n_seeds,n_failed,n_gross_error,failure_rate,gross_error_rate,unusable_rate,convergence_rate,displacement_rmse_mean_m,displacement_rmse_median_m,displacement_rmse_std_m,displacement_rmse_p05_m,displacement_rmse_p95_m,peak_absolute_error_mean_m,phase_rmse_mean_rad,runtime_s_mean
fitzgibbon,"grid:n_x_noise:samples_per_fit=100,noise_std=0.0",50,0,0,0.0,0.0,0.0,,1.7602860697300328e-11,1.750681102427753e-11,1.1655908526521529e-12,1.5842688088193084e-11,1.9300727115294945e-11,5.120800248059859e-11,0.000349563956060703,0.00010304264002115815
halir_flusser,"grid:n_x_noise:samples_per_fit=100,noise_std=0.0",50,0,0,0.0,0.0,0.0,,1.7602860697302958e-11,1.7506811024277603e-11,1.1655908526581313e-12,1.584268808810232e-11,1.930072711534885e-11,5.120800248062677e-11,0.0003495639560607552,7.691163995332317e-05
heydemann,"grid:n_x_noise:samples_per_fit=100,noise_std=0.0",50,0,0,0.0,0.0,0.0,,1.703990573167243e-11,1.7037960166825216e-11,1.0062196223901794e-12,1.5473762748071556e-11,1.8387384412154178e-11,4.939293214686031e-11,0.00033838459332796917,3.373054001713172e-05
kasa,"grid:n_x_noise:samples_per_fit=100,noise_std=0.0",50,0,0,0.0,0.0,0.0,,3.607675273060624e-09,3.6078164675057823e-09,1.9476913976642606e-12,3.6048992029642278e-09,3.6109338206774337e-09,6.131631990266486e-09,0.07164251665224276,2.2081780007283668e-05
koning_wimmer_witkovsky,"grid:n_x_noise:samples_per_fit=100,noise_std=0.0",50,0,0,0.0,0.0,0.0,1.0,1.760074562476157e-11,1.7522875730740103e-11,1.1584815919983772e-12,1.5803890834862225e-11,1.919768570078162e-11,5.113901494142413e-11,0.000349521954187444,0.00023060232006173466
raw_atan2,"grid:n_x_noise:samples_per_fit=100,noise_std=0.0",50,0,0,0.0,0.0,0.0,,3.727794867139356e-09,3.727705293439102e-09,1.898728850959465e-12,3.7245974165434714e-09,3.730429251351416e-09,6.663396394577328e-09,0.07402789487164818,3.58698003765312e-06
taubin,"grid:n_x_noise:samples_per_fit=100,noise_std=0.0",50,0,0,0.0,0.0,0.0,,3.6076753384944325e-09,3.6078165593206862e-09,1.9476944547698177e-12,3.604899275724384e-09,3.6109338618954532e-09,6.131643432640287e-09,0.07164251795165096,9.250561992303119e-05
fitzgibbon,"grid:n_x_noise:samples_per_fit=100,noise_std=0.005",50,0,0,0.0,0.0,0.0,,2.524527518121184e-10,2.5169177763294477e-10,1.9996596903828662e-11,2.2631814675196296e-10,2.8493303879365863e-10,7.12032490478225e-10,0.005013297790590888,0.00010732964005001122
halir_flusser,"grid:n_x_noise:samples_per_fit=100,noise_std=0.005",50,0,0,0.0,0.0,0.0,,2.5245275181212007e-10,2.516917776329936e-10,1.999659690383929e-11,2.2631814675197943e-10,2.849330387937827e-10,7.120324904781065e-10,0.005013297790590922,7.517965996157727e-05
heydemann,"grid:n_x_noise:samples_per_fit=100,noise_std=0.005",50,0,0,0.0,0.0,0.0,,2.4255237048847684e-10,2.4308591333570965e-10,1.8542279554562965e-11,2.140568627963526e-10,2.7332594052070237e-10,6.936856159292919e-10,0.004816692447771104,3.5932900009356674e-05
